ID,rubrik,length,body
A1_1,goetheA1,153,"['Mein Name ist Anna. Ich komme aus Österreich und lebe seit drei Jahren in Deutschland. Ich bin 15 Jahre alt und habe zwei Geschwister: Meine Schwester heißt Klara und ist 13 Jahre alt mein Bruder Michael ist 18 Jahre alt. Wir wohnen mit unseren Eltern in einem Haus in der Nähe von München. Meine Mutter ist Köchin mein Vater arbeitet in einer Bank. Ich lese gerne und mag Tiere: Wir haben einen Hund zwei Katzen und im Garten einen Teich mit Goldfischen. Ich gehe auch gerne in die Schule mein Lieblingsfach ist Mathematik. Physik und Chemie mag ich nicht so gerne. Nach der Schule gehe ich oft mit meinen Freundinnen im Park spazieren manchmal essen wir ein Eis. Am Samstag gehen wir oft ins Kino. Am Sonntag schlafe ich lange dann koche ich mit meiner Mutter das Mittagessen. Nach dem Essen gehen wir mit dem Hund am See spazieren. Sonntag ist mein Lieblingstag!']"
A1_2,goetheA1,138,"['Juliana kommt aus Paris. Das ist die Hauptstadt von Frankreich. In diesem Sommer macht sie einen Sprachkurs in Freiburg. Das ist eine Universitätsstadt im Süden von Deutschland. Es gefällt ihr hier sehr gut. Morgens um neun beginnt der Unterricht um vierzehn Uhr ist er zu Ende. In ihrer Klasse sind außer Juliana noch 14 weitere Schüler acht Mädchen und sechs Jungen. Sie kommen alle aus Frankreich aber nicht aus Paris. Julianas beste Freundin Marie macht auch gerade einen Sprachkurs aber in Hamburg das liegt ganz im Norden von Deutschland. Wenn die beiden ihre Schule beendet haben wollen sie in Deutschland studieren. Juliana will Tierärztin werden ihre beste Freundin auch. Aber Maries Eltern sind beide Zahnärzte deshalb wird Marie wahrscheinlich auch Zahnärztin werden. Juliana und Marie verbringen insgesamt sechs Wochen in Deutschland. Nach dem Sprachkurs machen sie eine Prüfung.']"
A1_3,goetheA1,104,"['Zu meiner Familie gehören vier Personen. Die Mutter bin ich und dann gehört natürlich mein Mann dazu. Wir haben zwei Kinder einen Sohn der sechs Jahre alt ist und eine dreijährige Tochter. Wir wohnen in einem kleinen Haus mit einem Garten. Dort können die Kinder ein bisschen spielen. Unser Sohn kommt bald in die Schule unsere Tochter geht noch eine Zeit lang in den Kindergarten. Meine Kinder sind am Nachmittag zu Hause. So arbeite ich nur halbtags. Eigentlich gehören zu unserer Familie auch noch die Großeltern. Sie wohnen nicht bei uns. Sie haben ein Haus in der Nähe. Die Kinder gehen sie oft besuchen.']" 
A1_4,goetheA1,151,"['Mein Name ist Maria. Ich bin 30 Jahre alt. Zu meiner Familie gehören außer mir noch drei weitere Personen. Mein Mann Markus ist 31 Jahre alt. Wir haben zwei Kinder. Unser Sohn Heinrich ist drei Jahre alt. Unsere Tochter Valerie ist ein Jahr alt. Wir haben auch einen Hund und zwei Katzen. Der Hund heißt Maya und die Katzen Lana und Micki. Wir wohnen in einem Dorf. Die Stadt ist nicht weit von uns entfernt. Unser Haus ist klein und hat einen Garten. Dort spielen die Kinder gerne. Heinrich geht in den Kindergarten und Valerie ist bei mir zu Hause. Meine Eltern leben im Ausland aber die Eltern meines Mannes leben in der Nähe. Ich gehe sie mit den Kindern gerne besuchen. Oft passen sie auch auf die Kinder auf. Ich bin Journalistin und arbeite meistens von zu Hause aus. Mein Mann ist Koch und arbeitet oft am Wochenende oder abends.']"
A2_1,goetheA2,200,"['Familie Müller plant ihren Urlaub. Sie geht in ein Reisebüro und lässt sich von einem Angestellten beraten. Als Reiseziel wählt sie Mallorca aus. Familie Müller bucht einen Flug auf die Mittelmeerinsel. Sie bucht außerdem zwei Zimmer in einem großen Hotel direkt am Strand. Familie Müller badet gerne im Meer. Am Abflugtag fahren Herr und Frau Müller mit ihren beiden Kindern im Taxi zum Flughafen. Dort warten schon viele Urlauber. Alle wollen nach Mallorca fliegen. Familie Müller hat viel Gepäck dabei: drei große Koffer und zwei Taschen. Die Taschen sind Handgepäck. Familie Müller nimmt sie mit in das Flugzeug. Am Flugschalter checkt die Familie ein und erhält ihre Bordkarten. Die Angestellte am Flugschalter erklärt Herrn Müller den Weg zum Flugsteig. Es ist nicht mehr viel Zeit bis zum Abflug. Familie Müller geht durch die Sicherheitskontrolle. Als alle das richtige Gate erreichen setzen sie sich in den Wartebereich. Kurz darauf wird ihre Flugnummer aufgerufen und Familie Müller steigt mit vielen anderen Passagieren in das Flugzeug nach Mallorca. Beim Starten fühlt sich Herr Müller nicht wohl. Ihm wird ein wenig übel. Nach zwei Stunden landet das Flugzeug. Am Gepäckband warten alle Passagiere noch auf ihr fehlendes Gepäck. Danach kann endlich der Urlaub beginnen.']"
A2_2,goetheA2,217,"['Ich bin Anna bin 16 Jahre alt und Schülerin. Morgens stehe ich um kurz vor 7 Uhr auf. Aufwachen kann ich nicht von allein. Ein Wecker klingelt mich aus dem Schlaf. Ich stehe auf und muss als erstes meistens auf die Toilette gehen. Ich wasche mir das Gesicht. Dann dusche ich zuerst ganz warm und am Schluss mit kaltem Wasser. So werde ich richtig wach. Zähne putzen muss auch sein anschließend ziehe ich mich an. Meine Kleider habe ich mir schon am Abend davor zurecht gelegt. Ich will morgens keine Zeit verlieren. So kann ich ein bisschen später aufstehen. Das Frühstück lasse ich nie aus ich habe Hunger am Morgen. Meistens esse ich Müsli oder Toast mit Marmelade. Dazu trinke ich Tee oder Kaffee. Bevor ich in die Schule gehe muss ich noch mein Bett machen. Das dauert aber selten länger als eine oder zwei Minuten. Dann renne ich schon los zu meinem Schulbus. Nach der Schule esse ich zu Mittag und komme am Nachmittag heim. Dann muss ich meistens noch Hausaufgaben machen. Vor dem Abendessen habe ich noch Zeit um zu spielen oder um Freunde zu treffen. Dann essen wir gemeinsam zu Abend. Bevor ich ins Bett gehe schaue ich ein bisschen fern. Dann gehe ich schlafen und schlafe von 22 Uhr bis morgens um 7.']"
A2_3,goetheA2,224,"['Für das Wochenende und die Ferien mache ich gern Pläne. An den freien Samstagen und Sonntagen werde ich lange schlafen. Dann klingelt der Wecker nicht. Aber ich werde für die Wochenenden nicht zu viel planen weil ich gern faul bin und nichts tue. Aber ich werde vielleicht zum Sport gehen. Manchmal habe ich am Wochenende ein Turnier. Diesen Sonntag zum Beispiel werde ich mit meinem Team in eine andere Stadt fahren. Wir werden dort ein Match gegen einen anderen Hockeyverein spielen. Das wird bestimmt ein Spaß. Wenn das Wetter schön ist werde ich anschließend mit meinen Freunden schwimmen gehen. In der Nähe gibt es einen See der wird schon warm genug sein. Wenn ich länger frei habe mache ich gerne größere Pläne. In den Sommerferien werde ich sehr oft mit meinen Freunden unterwegs sein. Wir werden zum See fahren. Dort werden wir im Zelt übernachten und beim Lagerfeuer sitzen. Eine oder zwei Wochen möchte ich gerne reisen. Ein Freund wird mich auf der Reise begleiten wir werden mit dem Zug losfahren. Wir planen eine Route durch das ganze Land von West bis Ost und von Süd bis Nord. Mit Rucksäcken und Wanderschuhen werden wir auch in die Berge fahren. Am liebsten würde ich dort in einer Hütte übernachten. Wir werden sehen ob wir das auch schaffen werden. Ein Abenteuer wird es aber ganz bestimmt.']"
A2_4,goetheA2,122,"['Anna steht am Samstag um 8.00 Uhr auf. Sie duscht sich und putzt ihre Zähne. Zum Frühstück isst sie ein Butterbrot und trinkt Kaffee. Dann geht Anna einkaufen. Sie kauft Tomaten Nudeln Bananen Milch und Orangensaft. Um 10.00 Uhr geht Anna mit ihrem Hund im Park spazieren. Mittags kocht Anna Nudeln mit Tomatensoße. Zum Mittagessen trinkt sie Orangensaft. Nachmittags trifft sich Anna mit ihren Freundinnen Maria und Monika. Sie gehen in der Stadt spazieren und trinken Tee in einem Café. Dann geht Anna nach Hause und liest ein Buch. Am Abend isst sie ein Käsebrot und trinkt ein Glas Milch. Sie sieht sich im Fernsehen einen Film an. Um 22.00 Uhr ist Anna müde. Sie geht ins Bett und schläft sofort ein.']"
B1_1,goetheB1,182,"['Berlin ist nicht nur Weltmetropole und die Hauptstadt Deutschlands sondern auch meine Heimatstadt. Jeden Morgen auf dem Weg zur Arbeit komme ich an vielen berühmten Sehenswürdigkeiten vorbei. Da ist zunächst der Große Tiergarten welcher schon über 500 Jahre alt ist. Von hier ist es nicht weit bis zum Brandenburger Tor und der Siegessäule. Hier steige ich in die U-Bahn und fahre einige Stationen bis zum Alexanderplatz wo sich die Weltzeituhr und das Wahrzeichen der Stadt der Fernsehturm befinden. Von dort sind es nur wenige Minuten Fußweg bis zum Kurfürstendamm der riesigen Einkaufsstraße mit zahlreichen Restaurants Geschäften und Hotels. Hier arbeite ich als Hotelfachfrau und betreue die zahlreichen Gäste des Hotels welche als Touristen Berlin besichtigen. Als echte Berlinerin kann ich ihnen dabei gute Tipps geben welche Sehenswürdigkeiten sich wirklich lohnen und wie sie auf dem besten Wege dorthin gelangen. Sehr oft kommt man so mit den Gästen unserer Stadt ins Gespräch und erfährt aus welchen Ländern sie angereist sind und ob es Ihnen in Berlin gefällt. Als besonderen Service bietet unser Hotel auch eigene Stadtrundfahrten an die immer sehr gern gebucht werden.']"
B1_2,goetheB1,239,"['Wenn die Vögel zwitschern und die Blätter an den Bäumen wachsen hat der Frühling begonnen. Die Menschen freuen sich auf den Frühling. In dieser Jahreszeit wird alles lebendig. Die Blumen blühen in verschiedenen Farben und die Bienen bestäuben die Pflanzen. Die Natur erwacht. Manchmal tanzt ein Schmetterling über das grüne Gras. Nach dem Frühling kommt der Sommer. Im Sommer ist es heiß. Viele fahren in den Ferien ans Meer und liegen den ganzen Tag am Strand. Wegen der Sonne tragen sie Sonnenbrillen. Die Massen gehen ins Schwimmbad um im Wasser zu schwimmen und Spaß zu haben. Im Herbst kühlt alles ab. Die Sonne verschwindet hinter den Wolken und es regnet häufig. Überall sieht man Regenschirme. Während die Blätter von den Bäumen fallen fahren die Bauern die Ernte ein. Die Welt erscheint braun und trüb. Es wird immer kälter. Der Winter kommt und die Natur erstirbt. Die Menschen ziehen sich ihre Jacken Mützen Schals und Handschuhe an. Warme Kleidung ist bei der Kälte im Winter wichtig. Das Wasser in den Seen und Teichen wird zu Eis. Kinder spielen im Schnee und freuen sich über die weiße Pracht. An Weihnachten wird die Geburt von Jesus Christus gefeiert . Die Familien sitzen zusammen in ihren warmen Wohnungen und verbringen Zeit miteinander. Dabei bekommt jeder ein Geschenk. Das Jahr neigt sich dem Ende zu. An Silvester begrüßt man das neue Jahr. Wenn der Winter vorbei ist beginnt der Kreislauf der Jahreszeiten von Neuem.']"
B1_3,goetheB1,233,"['Mein Name ist Andrea Müller und meine Familie lebt nicht gemeinsam an einem Ort sondern ist über mehrere Bundesländer innerhalb Deutschlands verstreut. Ursprünglich komme ich aus Nordrhein-Westfalen und habe in Köln studiert. Nach Abschluss des Studiums fand ich jedoch nicht gleich eine Arbeit die mir zusagte und so entschied ich mich zunächst einmal ins Ausland zu gehen und Erfahrungen zu sammeln. Ich lebte zwei Jahre lang in den Niederlanden wo es mir sehr gut gefiel und ich sowohl meine Englischkenntnisse verbessern als auch die niederländische Sprache als neue Fremdsprache hinzulernen konnte. Mit dieser internationalen Berufserfahrung und den erweiterten Sprachkenntnissen fand ich eine Anstellung in Hessen. Dort lernte ich auch meinen Mann kennen der ursprünglich aus Bayern stammt. Wir heirateten und bekamen zwei Söhne. In Hessen haben wir uns inzwischen einen größeren Kreis an Freunden und Bekannten aufgebaut unsere Familien leben jedoch noch immer größtenteils in Nordrhein-Westfalen und Bayern. Hinzu kommt dass meine fünf Geschwister ebenfalls nicht in Nordrhein-Westfalen sesshaft geworden sind sondern über die gesamte Bundesrepublik Deutschland verstreut leben. Nur bei größeren Familienfesten und Geburtstagen sehen wir uns alle. Ich würde sehr gern in der Nähe meiner Eltern leben da diese mittlerweile auch ziemlich alt sind und sicherlich bald Unterstützung benötigen. Auch unsere Kinder vermissen die Großeltern und Verwandten oft. Unsere mittelfristige Perspektive ist es daher für meinen Mann und mich in der nächsten Zeit Arbeitsstellen und ein Haus in Nordrhein-Westfalen zu finden.']"
B1_4,goetheB1,143,"['Ich wohne in Frankfurt am Main. Die Stadt hat über 700 000 Einwohner sie ist die fünftgrößte Stadt Deutschlands. Mir gefällt die Stadt weil sie so international ist. Hier leben Menschen aus vielen Kulturen. Um den Hauptbahnhof herum gibt es viele internationale Lebensmittelgeschäfte und Restaurants. Frankfurt ist eine moderne Stadt mit vielen Hochhäusern aber es gibt auch eine schöne Altstadt mit gemütlichen Kneipen. Dort kann man Apfelwein trinken und Grüne Soße essen. Das Frankfurter Nationalgericht besteht aus Kräutern Joghurt und anderen Zutaten. In Frankfurt steht auch das Goethehaus das Geburtshaus des berühmten deutschen Dichters Johann Wolfgang von Goethe. Eine Schifffahrt auf dem Main macht viel Spaß. Man kann aber auch gut am Fluss spazieren gehen. Im Sommer finden hier viele Feste statt. Jedes Jahr kommen mehrere Millionen Menschen zum Museumsuferfest. Es dauert drei Tage und es gibt ein interessantes Programm mit viel Live-Musik.']"
B2_1,goetheB2,265,"['Familie Huber wohnt in der Nähe von Wien. Frank und Monika haben den Kindern einen Tag in Wien versprochen. Am Samstag fahren sie gemeinsam nach Wien in die Hauptstadt von Österreich. Das Auto stellen sie in einem Parkhaus ab und fahren mit der U-Bahn weiter in die Innenstadt. Als Erstes besichtigen sie den Stephansdom. Das Wahrzeichen von Wien. Diese alte gotische Kirche wollen alle Besucher sehen. Wer Zeit hat kann den Turm besteigen oder die Katakomben unter der Kirche besichtigen. Die "Pummerin" ist die größte Glocke Österreichs. Sie hängt im Nordturm und kann mit einem Aufzug erreicht werden. Familie Huber ist beeindruckt. Sie zünden in der Kirche eine Kerze an und gehen weiter. Inzwischen haben alle Hunger und essen bei einem Würstelstand eine Burenwurst. Das ist eine Wiener Spezialität. Es schmeckt ihnen und sie spazieren quer durch die Altstadt. Als Nächstes machen sie eine Besichtigungsfahrt mit der Straßenbahn. Die Ringstraße führt rund um das Zentrum der Stadt. Sie nutzen die ganz normale Straßenbahn und können beim Vorbeifahren die prächtigen Bauten bewundern. Sie sehen die Votivkirche das Wiener Rathaus das Burgtheater das Parlament zwei große Museen und die Wiener Staatsoper. Die Kinder wollen endlich in den Prater. Sie wollen keine Häuser mehr anschauen. Der Prater ist ein Vergnügungspark. Hier fahren sie mit Ringelspiel Autodrom und dem Riesenrad. Das ist auch eines der Wahrzeichen der Stadt. Frank möchte ins Schweizer Haus einen großen Biergarten. Dort machen sie Rast und essen Wiener Schnitzel. Sie wollten noch zum wunderschönen Schloss Schönbrunn und in den Tiergarten. Dafür reicht die Zeit aber nicht. Das machen sie beim nächsten Besuch in Wien.']"
B2_2,goetheB2,254,"['Heute möchte ich von meinem besten Freund erzählen. Zunächst zu seinem Äußeren. Er ist sehr groß und ragt mit seinen 194 Meter Körpergröße aus fast jeder Menschengruppe heraus. Dazu hat er sehr große Füße was bei einer solchen Größe ja auch nicht ungewöhnlich ist. Auch seine Hände und Ohren erscheinen riesig. Seine Arme und Beine sind zwar lang aber kräftig da er sehr gerne Sport treibt. Mein Freund ist Basketballer. Schon als Kind war er immer größer als alle anderen Kinder in seiner Klasse. Er wurde deshalb sehr oft verspottet und gehänselt und hatte kaum Selbstbewusstsein. Er wusste nicht wohin mit seinen langen Armen und Beinen. Außer im Sportunterricht. Hier war er oftmals Klassenbester. Wo die kleineren Klassenkameraden beim Wettlauf noch schnauften und stöhnten war er meistens schon im Ziel. Beim Hochsprung oder Weitsprung war er absolute Spitze. Aber sein Lieblingssport war schon immer Basketball. Ganz leicht und mit nur einem kleinen Sprung kann er den Korb erreichen und zielsicher fast jeden Ball einwerfen. Seine Eltern erkannten dass ihm der Sport nicht nur Spaß machte sondern auch die Möglichkeit gab Selbstvertrauen aufzubauen. Im Verein mit vielen anderen sehr großen Kindern trainierte er nun viermal die Woche ging auf eine Sportschule und studierte im Anschluss. Niemand hänselt ihn nun mehr aufgrund seines Aussehens. Mein Freund ist deswegen mein bester Freund weil er inzwischen als Basketballtrainer sehr viele andere Kinder davon überzeugt hat Sport im Verein zu treiben dort Freunde zu finden und durch ihr Hobby Spaß Freude und Selbstvertrauen zu finden. Dafür bewundere ich ihn.']"
B2_3,goetheB2,233,"['Bei dem Osterfest geht es um die Kreuzigung von Jesus Christus und um seine Auferstehung von den Toten. Es ist ein religiöses Fest. Ostern ist ein Fest im Frühling aber der genaue Termin von Ostern richtet sich nach dem Mondkalender. Daher liegen die Ostertage von Jahr zu Jahr an verschiedenen Wochenenden. Der erste Feiertag der Osterzeit ist der Karfreitag. Dieser Tag ist kein fröhlicher Tag. Er ist ein Trauertag weil er an den Tod von Jesus Christus am Kreuz erinnern soll. Fröhliche Musikveranstaltungen sind daher an diesem Tag verboten. Auf den Karfreitag folgen die Feiertage Ostersonntag und Ostermontag. An ihnen freut man sich über die Auferstehung von Jesus Christus aus seinem Grab. Die Wohnungen und Häuser werden zur Osterzeit festlich mit Zweigen und Blumen dekoriert. Am Ostersonntag gehen religiöse Familien in die Kirche. Danach folgt ein festliches Essen. Für die Kinder gibt es an diesem Tag kleine Geschenke Süßigkeiten und Ostereier. Das sind bemalte Hühnereier oder Eier aus Schokolade. In der Nacht vor dem Ostersonntag füllen die Eltern kleine Strohnester mit diesen Geschenken. Dann verstecken sie die Nester heimlich in der Wohnung oder im Garten. Die Kinder müssen die versteckten Ostereier am Ostersonntag suchen. Das ist ein riesiger Spaß für die ganze Familie. Den Kindern wird bei dieser Gelegenheit erzählt dass die Osternester von einem Osterhasen versteckt wurden. Manche Familien nutzen die Osterzeit um zu verreisen weil es in dieser Zeit Schulferien gibt.']"
